latitude,longitude,vibe
21.1458,79.0882,urban
31.633,74.8723,heritage
30.7333,76.7794,urban
32.7266,74.857,city
9.305,76.595,forest
13.3409,74.7421,beach
28.3941,79.4304,urban
25.4484,78.5685,rural
17.6868,83.2185,beach
15.8281,78.0373,rural
23.8388,78.7378,cultural
24.5854,73.7125,heritage
25.4358,81.8463,heritage
11.2588,75.7804,urban
13.3409,74.7421,beach
12.9141,74.856,coastal-city
20.4625,85.8828,temple-town
24.817,93.9368,hill-town
25.5788,91.8933,mountain
23.3441,85.3096,urban
26.1445,91.7362,cultural
22.305,70.8022,urban
22.7196,75.8577,urban
15.8497,74.4977,heritage
25.5941,85.1376,urban
10.8505,76.2711,rural
21.1702,72.8311,urban
23.8315,91.2868,cultural
31.633,74.8723,heritage
30.0668,79.0193,mountain
26.9124,75.7873,desert
24.5854,73.7125,heritage
32.7266,74.857,urban
20.268,85.8433,temple-town
28.218,94.7278,mountain
9.3057,76.5809,backwater
27.1767,78.0081,heritage
25.3176,82.9739,spiritual
23.1765,75.7885,urban
22.3072,73.1812,urban
30.7333,76.7794,urban
18.5204,73.8567,urban
25.4358,81.8463,heritage
22.3072,73.1812,urban
23.1765,75.7885,urban
22.5726,85.801,city
23.3441,85.3096,urban
26.1445,91.7362,urban
24.817,93.9368,hill-town
25.5788,91.8933,mountain
27.3314,88.6138,mountain
11.2588,75.7804,urban
11.7401,79.768,beach
9.2876,79.3129,coastal
20.2686,73.0159,rural
20.3888,78.1204,rural
21.1458,79.0882,urban
23.25,87.85,cultural
24.801,93.9376,mountain
24.5689,73.6908,heritage
26.4499,74.6399,desert
25.3801,72.4224,desert
23.8315,91.2868,urban
26.9182,75.7878,heritage
19.2183,73.1645,urban
30.3165,78.0322,hill-town
29.9457,78.1642,cultural
20.0059,73.7894,urban
21.1458,79.0882,urban
31.633,74.8723,heritage
30.7333,76.7794,urban
32.7266,74.857,city
9.305,76.595,forest
13.3409,74.7421,beach
28.3941,79.4304,urban
25.4484,78.5685,rural
17.6868,83.2185,beach
15.8281,78.0373,rural
23.8388,78.7378,cultural
24.5854,73.7125,heritage
25.4358,81.8463,heritage
11.2588,75.7804,urban
13.3409,74.7421,beach
12.9141,74.856,coastal-city
20.4625,85.8828,temple-town
24.817,93.9368,hill-town
25.5788,91.8933,mountain
23.3441,85.3096,urban
26.1445,91.7362,cultural
22.305,70.8022,urban
22.7196,75.8577,urban
15.8497,74.4977,heritage
25.5941,85.1376,urban
10.8505,76.2711,rural
21.1702,72.8311,urban
23.8315,91.2868,cultural
31.633,74.8723,heritage
30.0668,79.0193,mountain
26.9124,75.7873,desert
24.5854,73.7125,heritage
32.7266,74.857,urban
20.268,85.8433,temple-town
28.218,94.7278,mountain
9.3057,76.5809,backwater
27.1767,78.0081,heritage
25.3176,82.9739,spiritual
23.1765,75.7885,urban
22.3072,73.1812,urban
30.7333,76.7794,urban
18.5204,73.8567,urban
28.6139,77.209,urban
25.5941,85.1376,urban
26.2183,78.1828,heritage
23.6102,85.2799,urban
15.85,74.5,heritage
22.4314,87.3215,rural
27.533,76.6167,rural
28.9845,77.7064,urban
32.7266,74.857,urban
22.523,88.361,urban
18.1124,79.0193,rural
22.7451,75.8978,urban
11.9416,79.8083,beach
12.2958,76.6394,heritage
9.9252,78.1198,temple-town
20.708,77.002,rural
19.8762,75.3433,urban
15.491,73.818,beach
25.5788,91.8933,hill-town
21.1458,79.0882,urban
26.1445,91.7362,urban
10.5667,76.9833,rural
8.888,76.5913,beach
22.7461,88.3465,urban
12.9716,77.5946,urban
32.3873,75.5173,rural
26.4499,80.3319,urban
22.836,88.3832,urban
19.2183,73.0862,urban
22.8897,88.4155,urban
20.27,85.84,heritage
34.0837,74.7973,mountain
27.5989,78.0498,heritage
22.52,87.32,rural
12.5,74.985,beach
13.9325,75.5681,hill-town
20.7081,77.0021,rural
19.9945,73.7804,urban
17.6868,83.2185,coastal-city
25.2837,87.5708,rural
27.1591,78.3949,heritage
25.4484,78.5685,heritage
10.9601,79.3845,temple-town
23.8356,91.2868,cultural
15.3333,74.0833,beach
20.4667,85.8833,temple-town
25.4358,81.8463,heritage
22.3072,73.1812,urban
23.1765,75.7885,urban
22.5726,85.801,city
23.3441,85.3096,urban
26.1445,91.7362,urban
24.817,93.9368,hill-town
25.5788,91.8933,mountain
27.3314,88.6138,mountain
11.2588,75.7804,urban
11.7401,79.768,beach
9.2876,79.3129,coastal
20.2686,73.0159,rural
20.3888,78.1204,rural
21.1458,79.0882,urban
23.25,87.85,cultural
24.801,93.9376,mountain
24.5689,73.6908,heritage
26.4499,74.6399,desert
25.3801,72.4224,desert
23.8315,91.2868,urban
26.9182,75.7878,heritage
19.2183,73.1645,urban
30.3165,78.0322,hill-town
29.9457,78.1642,cultural
20.0059,73.7894,urban
21.1458,79.0882,urban
31.633,74.8723,heritage
30.7333,76.7794,urban
32.7266,74.857,city
9.305,76.595,forest
13.3409,74.7421,beach
28.3941,79.4304,urban
25.4484,78.5685,rural
17.6868,83.2185,beach
15.8281,78.0373,rural
23.8388,78.7378,cultural
24.5854,73.7125,heritage
25.4358,81.8463,heritage
11.2588,75.7804,urban
13.3409,74.7421,beach
12.9141,74.856,coastal-city
20.4625,85.8828,temple-town
24.817,93.9368,hill-town
25.5788,91.8933,mountain
23.3441,85.3096,urban
26.1445,91.7362,cultural
22.305,70.8022,urban
22.7196,75.8577,urban
15.8497,74.4977,heritage
25.5941,85.1376,urban
10.8505,76.2711,rural
21.1702,72.8311,urban
23.8315,91.2868,cultural
31.633,74.8723,heritage
30.0668,79.0193,mountain
26.9124,75.7873,desert
24.5854,73.7125,heritage
32.7266,74.857,urban
20.268,85.8433,temple-town
28.218,94.7278,mountain
9.3057,76.5809,backwater
27.1767,78.0081,heritage
25.3176,82.9739,spiritual
23.1765,75.7885,urban
22.3072,73.1812,urban
30.7333,76.7794,urban
18.5204,73.8567,urban
28.6139,77.209,urban
25.5941,85.1376,urban
26.2183,78.1828,heritage
23.6102,85.2799,urban
15.85,74.5,heritage
22.4314,87.3215,rural
27.533,76.6167,rural
28.9845,77.7064,urban
32.7266,74.857,urban
22.523,88.361,urban
18.1124,79.0193,rural
22.7451,75.8978,urban
11.9416,79.8083,beach
12.2958,76.6394,heritage
9.9252,78.1198,temple-town
20.708,77.002,rural
19.8762,75.3433,urban
15.491,73.818,beach
25.5788,91.8933,hill-town
21.1458,79.0882,urban
26.1445,91.7362,urban
10.5667,76.9833,rural
8.888,76.5913,beach
22.7461,88.3465,urban
12.9716,77.5946,urban
32.3873,75.5173,rural
26.4499,80.3319,urban
22.836,88.3832,urban
19.2183,73.0862,urban
22.8897,88.4155,urban
20.27,85.84,heritage
34.0837,74.7973,mountain
27.5989,78.0498,heritage
22.52,87.32,rural
12.5,74.985,beach
13.9325,75.5681,hill-town
20.7081,77.0021,rural
19.9945,73.7804,urban
17.6868,83.2185,coastal-city
25.2837,87.5708,rural
27.1591,78.3949,heritage
25.4484,78.5685,heritage
10.9601,79.3845,temple-town
23.8356,91.2868,cultural
15.3333,74.0833,beach
20.4667,85.8833,temple-town
28.4595,77.0266,urban
26.4499,80.3319,city
15.3173,75.7139,heritage
22.5726,88.3639,city
19.9975,73.7898,urban
9.9312,76.2673,beach
27.1767,78.0081,heritage
32.7266,74.857,city
26.9124,75.7873,desert
13.0827,80.2707,urban
15.2993,74.124,beach
32.2432,77.1892,mountain
27.041,88.2663,mountain
10.8505,76.2711,rural
26.1445,91.7362,urban
23.3441,85.3096,urban
23.0225,72.5714,urban
8.0883,77.5385,coastal
14.3586,75.7422,hill-town
25.3176,82.9739,heritage
21.1458,79.0882,urban
21.6517,78.531,rural
16.5062,80.648,coastal-city
22.2587,71.1924,urban
29.0588,76.0856,heritage
24.3963,85.3131,cultural
24.5854,73.7125,heritage
26.8467,80.9462,city
19.075984,72.877656,urban
26.9124,75.7873,desert
29.326,76.0833,heritage
21.6417,86.933,temple-town
16.4897,80.3677,coastal-city
23.2599,77.4126,urban
34.0837,74.7973,mountain
14.6957,77.605,heritage
18.5793,73.8143,urban
9.9312,76.2673,beach
26.2006,73.0104,desert
20.9517,85.0985,cultural
21.1458,79.0882,urban
16.4897,80.3677,coastal-city
12.2958,76.6394,heritage
22.3072,73.1812,urban
25.4358,81.8463,heritage
15.3116,75.7139,hill-town
19.2183,73.0862,urban
26.4735,80.3405,urban
11.1271,78.6569,heritage
23.3441,85.3096,urban
10.0889,77.0595,mountain
18.5204,73.8567,urban
20.9517,85.0985,cultural
25.3176,82.9739,spiritual
22.7461,88.3465,urban
15.3173,75.7139,heritage
26.8467,80.9462,city
13.0827,80.2707,urban
9.10023638458313,77.13404435502994,backwater
9.226382581480657,76.06307312358709,backwater
25.858775964895862,82.7029082998869,spiritual
8.201758675415117,78.94923858676128,coastal
17.622553350030874,83.32950882234331,temple-town
12.109535864350848,79.31041455318126,forest
27.11915668512974,86.36873804620113,mountain
26.454095912989693,83.2938680829004,spiritual
19.889726482191527,77.76963857104228,rural
9.440162018304068,79.09420487763713,coastal
25.575622612103224,74.81345386886636,desert
14.18463333557636,77.13586226204109,beach
25.35265657936661,83.25948703314552,spiritual
13.730013665572086,77.98709969966872,beach
25.45695071363651,74.44598486244949,desert
20.6783543812295,77.35525863763135,rural
14.26237723017456,77.96951103914252,beach
23.761714379457477,86.13942382421489,hill-town
24.90096870423137,84.05322950535242,spiritual
16.05728241446425,77.71213278344854,coastal-city
21.7263305874844,78.96455740505921,urban
26.035103088994465,83.71896217114829,spiritual
21.821487126588742,78.65927861179227,urban
25.540156195175445,76.37238732549825,heritage
12.6596351616057,77.64077110206523,beach
17.712619696624934,83.43871943752468,temple-town
25.37115251500473,83.39787937173185,spiritual
23.25623495845061,84.7845024127993,hill-town
24.513507094394228,82.56254898846045,spiritual
11.716877231358543,79.01846793636781,forest
20.19663932221839,78.74838346715465,rural
26.024381574648665,82.03232604315178,city
17.193748265440735,84.00309911573886,temple-town
20.018677926088827,78.84024394679989,rural
24.87239958667885,79.99718605978214,city
27.164642463643677,85.69879674635149,mountain
20.893252295760917,78.684371645302,rural
9.376912868035282,76.92614267703388,backwater
8.83068897254471,76.41138346204971,backwater
27.427319337300595,86.58016324836787,mountain
23.59061197294191,85.91900767803834,hill-town
24.37262133085774,85.18224531891256,cultural
26.12783001332744,74.27191199430945,desert
24.930632798891967,85.508895979371,cultural
24.233810024374183,77.76863825340276,heritage
25.3973909419695,75.33005211403078,desert
26.092545283064563,82.75603495591663,spiritual
23.25386608817661,77.25692838747467,heritage
22.13570056574808,78.9272430284756,urban
13.82285830178549,76.95874736108411,beach
20.322157425005987,78.64467044895606,rural
25.59522003713971,82.11816342013478,spiritual
20.64620450948748,78.32879209106287,rural
15.912366378593717,79.06585593709264,coastal-city
23.99669587260323,85.52314193226512,hill-town
20.94541433549474,79.3315602157335,rural
15.291234225685768,78.61504737183829,coastal-city
17.843626958489576,84.35357125105942,temple-town
16.32703301335054,79.00190067517326,coastal-city
24.619200941800123,85.67522090606846,cultural
26.981882935048933,86.25542622348416,mountain
22.10499730866813,80.34486394326555,urban
24.754791940968783,85.64521221238199,cultural
16.34737252730018,79.70595393575296,coastal-city
26.00646811813737,82.97277487774792,spiritual
8.204941341307595,79.22703721996413,coastal
25.397797674524465,81.60758410814456,city
8.74075159930355,79.68360942451054,coastal
17.010177075205274,82.8723161805769,temple-town
24.649085150648045,84.74285151846603,cultural
27.571805502830376,85.93959844959348,mountain
15.33747177538595,78.41004177751489,coastal-city
23.92773094595997,85.2442137580634,hill-town
24.419500531679518,85.91330647782446,cultural
23.79346621142624,85.6500180227537,hill-town
17.154936509775474,83.41347833807119,temple-town
27.331621583674,86.59003328187625,mountain
13.92479291381702,76.7928373095432,beach
15.58961964232362,78.54460352518824,coastal-city
27.83683504780354,85.81821819151398,mountain
9.68496360847062,78.64422623178154,coastal
27.183690384125907,86.73420612277172,mountain
25.09681117268575,85.35112294368632,cultural
27.08875122414009,86.10787360804373,mountain
24.05887017223981,86.03616728324506,cultural
27.260861072845387,86.76501379585974,mountain
20.252599076037388,78.20000743619116,rural
13.701112258559345,77.05685022833973,beach
15.367108579025134,79.98963744010203,coastal-city
9.022141444091702,78.9181552180716,coastal
24.023449452303776,77.84564971880823,heritage
27.2028240209655,74.15777709398188,desert
8.644350193822799,76.08227658619926,backwater
24.418647876774585,76.87355471703026,heritage
13.773007891348067,77.12293626691361,beach
10.661768345790565,79.58404290061264,forest
26.73088900487211,74.17531450466836,desert
23.57669194527365,77.32417900030013,heritage
9.175346708427936,79.63333256047633,coastal
27.30266027419588,85.93713490015722,mountain
17.033040326847075,83.50235120156925,temple-town
23.180932532499003,78.9367977869674,urban
19.41761354572181,78.3181516832649,rural
11.952417694359625,79.06018092199992,forest
8.823141618883813,76.21828696773213,backwater
23.69355132911128,85.11794087386777,cultural
26.145527655075423,74.58541949255043,desert
13.520884664940231,78.1665092156826,beach
25.0964364195,85.35546656128933,cultural
22.500301365804624,78.54747054545184,urban
21.43261306462353,78.3060395230078,urban
23.96481066098548,76.47729209986856,heritage
23.63409713051311,86.33901893613147,hill-town
25.71442474259409,86.2804023003915,cultural
8.793951253689068,76.67053781747816,backwater
15.83359893589212,79.10913897464974,coastal-city
13.15351400619143,77.40041058934726,beach
9.053465645835326,78.80838764805738,coastal
21.025174367233834,78.57386198275852,rural
26.971490416099016,73.89824761695506,desert
26.51484907517148,74.28987876928112,desert
24.412791515541382,83.20858032981039,spiritual
23.7679926158399,76.73230320809216,heritage
27.303915301415763,86.36771092542018,mountain
9.436623694542462,79.36152414097224,coastal
17.74531815237645,83.92627084756685,temple-town
27.334754705200663,74.81099314323127,desert
23.888717280434328,77.99957747764863,heritage
8.89345939215438,76.90619639391235,backwater
27.07549150562039,86.10764891575616,mountain
8.596528452603742,78.78684953066806,coastal
26.077447571042043,80.8368071916655,city
25.587359179622325,80.70721970544543,city
23.919381155840224,77.18684444288742,heritage
9.369620201583643,76.42277870382821,backwater
26.26614262313315,86.35052907928154,mountain
16.072661189323224,78.83288028088025,coastal-city
9.303350907273767,79.15365232996662,coastal
24.069621014436724,84.90286027243747,cultural
25.240294620690044,82.3794599232012,spiritual
25.725258036085812,82.6230165268666,spiritual
24.8637912469497,82.99214037780712,spiritual
25.82193417797742,83.21612671962421,spiritual
9.505587113361718,76.12816047231998,backwater
24.705102734169,84.50005707547825,cultural
11.96189342505211,79.43853407070152,forest
22.430647229209875,78.92867972796087,urban
13.245645028656837,77.49806858267989,beach
20.471159243352638,78.52909058771424,rural
24.886704156836117,80.88501609642897,city
12.24615353119249,79.5732353731974,forest
26.20655927684108,74.68002976929058,desert
26.200794541619324,80.86793369172915,city
15.334052835037882,79.08640664397842,coastal-city
27.68837276360916,74.29199105428809,desert
17.400624405009964,84.11376625644893,temple-town
11.522669923667223,78.57680933656913,forest
25.63319862113384,85.25093699884606,cultural
24.35086034718378,85.0546800816194,hill-town
26.469656958279955,85.60595558904379,mountain
24.021175796923306,85.67401371582379,hill-town
9.127568014469286,76.94965778423354,backwater
9.0972574105036,79.42343911317526,coastal
26.697357117037168,74.11056968721648,desert
11.676352805057387,78.14539463214345,forest
13.953778930623177,78.33382935675166,beach
25.8347906869988,75.01534430038468,desert
24.351182355558183,77.06806565439972,heritage
23.792553776701997,76.12301244330041,heritage
23.743998106720987,77.52694533210202,heritage
8.464265114192097,76.41345748500711,backwater
17.965443281156517,83.16170585548294,temple-town
27.597713979040982,86.67188051060106,mountain
24.22456816497273,77.80313822562627,heritage
17.621686480212514,83.56368126435149,temple-town
25.4070345988707,86.70476543061474,cultural
23.47309599854697,76.84549570435863,heritage
26.12692531077151,73.49504490344587,desert
26.001346342387333,80.6894916366624,city
26.33527638333942,81.6576527703075,city
14.218956990115732,77.78156931309888,beach
17.839524861349073,83.09506137369326,temple-town
12.315420286624724,78.75035447424115,forest
10.095245628205218,76.66089580678671,backwater
24.63288167322385,84.50376287013923,cultural
24.51929242788764,85.86627728608961,cultural
25.525001414313287,81.12634060248547,city
17.422154813222885,84.22568892881145,temple-town
24.30179021566849,83.0797568920853,spiritual
26.85543640622721,74.43288664635888,desert
11.145983205699224,78.79847444594027,forest
25.369983157233968,80.29340952149528,city
25.007145832540395,73.7098886949094,desert
27.4378975443604,86.15515729629394,mountain
17.398095935213465,83.76316143022586,temple-town
9.218135704001051,78.06621443514291,coastal
28.094616556014763,85.96014210605055,mountain
25.31436823937835,85.11952478749826,cultural
13.717994120050816,77.31641839138015,beach
12.83831769309257,78.63294612342906,forest
17.57154106210421,84.95683836150913,temple-town
24.823949257716283,80.62056304459581,city
26.20515174133466,85.84067389182277,mountain
25.47230641987996,83.28599213623477,spiritual
15.096555235024269,79.53304893513794,coastal-city
24.291089006640583,85.41355302305456,cultural
25.426320207651628,82.95598762666702,spiritual
8.621620400377168,77.40636396611562,backwater
24.497347461301548,85.54274055627286,cultural
23.34747625377529,77.51240497934972,heritage
11.62451562803748,80.22752592070478,forest
26.767205827208503,86.03377422261862,mountain
22.253999734159372,78.4318674116683,urban
24.212851805210946,85.73835363591742,hill-town
26.11609103753861,81.84814625158978,city
26.0077181897972,74.06178710247107,desert
24.506536185088397,84.27955038399028,hill-town
9.110795098422116,75.89255692622184,backwater
24.839556915635782,85.78148878624341,cultural
8.87226380889101,78.44687985917633,coastal
23.379603468615976,85.90318417562241,hill-town
22.50892219657633,78.66839678323515,urban
26.321876102575388,73.6174511606634,desert
20.54896612535153,78.00066868141707,rural
19.313401397444405,78.45159924118931,rural
12.948576805277987,79.61040514147267,forest
25.769506044899565,75.06320886675805,desert
9.008625022151602,75.85787107280578,backwater
13.129505869913974,77.42936789930532,beach
24.15374360763801,76.09819495772415,heritage
25.097346069576,83.63515216576157,spiritual
12.726599197112364,79.29131971135531,forest
15.586789511426062,78.47883549945422,coastal-city
24.94400285963571,74.22513162723658,desert
26.929809285928183,73.31358562843563,desert
20.958405745437187,78.55257010346415,rural
24.75148029122577,80.86587409371846,city
24.88430379724308,81.35241322910335,city
14.06478775480914,77.77973599008783,beach
24.884928583949083,82.1629374365849,spiritual
25.788013193243756,80.14619674795672,city
24.670653147806256,80.3854416137404,city
24.126650235560803,85.19812570778056,cultural
27.22289768747317,85.41370598114865,mountain
14.17951317941864,77.07597849147287,beach
25.701873900899724,81.11377307443632,city
13.738661434292728,78.31990564546057,beach
23.99354366302429,85.48312163073895,hill-town
24.54165329115768,85.1183683548466,cultural
24.27013209143459,85.7871070641087,cultural
12.953000211202712,77.36977679604855,beach
10.074082490972945,79.04400016621854,coastal
25.79629774499468,81.81603678861273,city
14.95033138566531,78.52775618368938,coastal-city
23.791193692564644,76.99666757960352,heritage
24.030577520752047,85.75905969404008,hill-town
22.60768922445457,79.50695850936363,urban
10.726846314478498,79.2855232899008,forest
24.742208661690903,84.61196625046102,cultural
27.931503520457948,86.4215106566207,mountain
27.43889080548649,86.96546747527711,mountain
25.754267683883285,73.91621773592895,desert
8.66673121284019,76.66719395886106,backwater
11.613946147735144,77.63485058782747,forest
15.28705649748848,79.76229264184227,coastal-city
8.527446973743782,77.75162983453527,coastal
23.857341645485537,77.29688946611982,heritage
24.031702825447415,78.16002449562282,heritage
15.618479063302718,79.26103294871808,coastal-city
21.61321688655141,79.52591181780824,urban
25.2825935705936,82.78819113195897,spiritual
13.246290823037418,77.61799902590401,beach
24.822046842206323,83.45789940227694,spiritual
9.560658421442618,78.97747660345074,coastal
27.46661540092128,86.59082323184057,mountain
27.34002606451479,86.53539112940375,mountain
14.113118203404476,78.08604033647532,beach
12.111620114254288,79.26735578507848,forest
25.46296658893341,82.79660622637432,spiritual
23.61276876321713,76.99624449181135,heritage
13.762435875955443,77.8410085072299,beach
23.521166606011107,86.05827702055473,hill-town
25.294820936622727,82.73034321959241,spiritual
10.369934866217582,76.1702066603878,backwater
26.03312527544056,75.20892848790136,desert
26.271095352835165,74.76990778482308,desert
22.496137974617493,77.6975805798178,urban
11.363829395537142,78.79525341801428,forest
25.05005642331164,82.77231866153498,spiritual
12.517893725360484,78.68658059701721,forest
22.58888118920427,79.79057007011048,urban
21.125781293781525,78.04688051104537,rural
24.650522801191364,85.35302057481033,hill-town
8.729432358448882,79.22858580540228,coastal
25.25704984662088,85.81525770157636,cultural
28.141857173847317,86.61635320174433,mountain
24.13150223596824,82.7060425636153,spiritual
19.15213680541706,78.15350268411432,rural
9.091536088918446,76.40483322475589,backwater
15.2491912099354,79.17060219448918,coastal-city
8.999651600470095,76.5105045567918,backwater
11.731905242475785,78.86683219251726,forest
16.497533260568378,83.42101034282402,temple-town
24.171403579361616,85.17994140146482,cultural
11.846504355608015,79.00269210236684,forest
24.867082985372523,83.76173879608533,spiritual
9.971652506478025,78.87093363309752,coastal
16.999469552642324,84.08428705153085,temple-town
12.898701084294592,77.6316537165812,beach
8.462032783020986,75.85734376378845,backwater
25.625717698276656,81.81035010152735,spiritual
9.627363397344524,76.3835974385702,backwater
14.903525571056308,79.19300833358436,coastal-city
11.210281265152917,79.67308032570159,forest
24.98407159901374,85.1080370435597,cultural
24.0871748259467,77.15898971459902,heritage
25.631843142507297,81.20082534202663,city
22.872889701972777,79.38550472344782,urban
9.1821967238393,78.6481870329357,coastal
13.80080615693434,77.3874666936208,beach
23.39205935528592,76.99494189818992,heritage
25.884384351437813,82.5031311988851,spiritual
26.14751958646349,86.21108081417267,mountain
27.04624060622229,86.34889780614263,mountain
20.38618206308708,78.8482880989676,rural
25.146911363754565,81.27102632200938,city
13.323942195349789,77.82337743386695,beach
22.859712352136007,79.39973338330222,urban
14.9490155096546,78.99368627415286,coastal-city
22.88979746994289,79.30309035391416,urban
25.40688912690563,81.4399784216546,city
17.94896458706241,83.52556737539022,temple-town
15.904488179946055,79.06409279388558,coastal-city
19.360359252047285,78.89887718104173,rural
20.923254273876115,79.00976350746791,rural
17.56001985201612,83.28523189640714,temple-town
25.157329810831225,83.36764135219276,spiritual
12.52966949380489,77.69230709572548,beach
23.35271953230769,86.01067480918002,hill-town
24.55650036240429,83.48769053527691,spiritual
25.648573794715254,82.981964707638,spiritual
24.224011804664816,76.91154042716887,heritage
21.308472643046606,78.55258021405024,rural
20.164649533807168,78.78605945563301,rural
9.673602504282597,78.69735854068136,coastal
17.355237126125772,83.79427774204042,temple-town
23.92690693357761,85.67733525896499,hill-town
24.01903464830409,85.29110221021016,hill-town
17.92375586459738,83.41544222942403,temple-town
9.422038105677352,76.59182607276172,backwater
20.4162428146853,78.83553329335278,rural
23.398866722192174,77.16610288939165,heritage
25.670352864514467,82.3325146410757,city
22.501284459707502,78.75696500611195,urban
15.384073171734414,78.42644706056957,coastal-city
23.751683166790105,78.22235374219458,heritage
22.45183245066063,79.58771440461541,urban
24.63262964874164,77.57527879196644,heritage
9.070513672853602,76.26146107587833,backwater
25.590472260436275,74.9941001149802,desert
24.589429147709406,85.48284187103188,cultural
27.413966958619472,86.36397026615597,mountain
14.549070034324007,77.17170176381617,beach
23.49493371264602,76.87207768128717,heritage
22.08791863645145,79.02590674372205,urban
15.027664836015424,78.50670058632097,coastal-city
23.85631472178344,77.39078457356405,heritage
24.82244920699364,85.50574595900797,cultural
7.887561993806926,78.4762007778156,coastal
20.016150591476983,77.80311130607677,rural
23.974191524250408,77.06898018230743,heritage
9.958700870853413,76.69059125068193,backwater
22.36689081994355,79.300000572463,urban
22.29224829051204,78.83568833894172,urban
26.36909402936661,80.81240992183169,city
12.622824102465945,78.57886311547756,forest
15.885465304709864,79.78818725533712,coastal-city
15.10343441771386,79.46406592883399,coastal-city
13.832718206964762,77.47917301236966,beach
8.690802587981757,78.29960489447089,coastal
15.62248995237518,79.23819001718259,coastal-city
23.52209193572996,84.59131791492021,cultural
9.370837260736442,77.07226975551153,backwater
26.790965151139797,74.34432075755267,desert
15.515716413023071,79.23128723632142,coastal-city
24.38617944902209,76.59168943949938,heritage
8.667856838331039,76.01425639299826,backwater
15.681872403016344,78.28319237137165,coastal-city
24.36071013258553,83.49304496449192,spiritual
23.518395029367657,85.65842885892923,hill-town
22.98611850623504,78.85440716353303,urban
24.273810669111437,86.51441984162844,hill-town
9.338715348780608,77.14452060348401,backwater
23.815628201858456,76.47461652016007,heritage
11.637920102064635,79.18262215601956,forest
27.347538627209737,86.87609279832803,mountain
22.87597994545221,77.58507765078065,heritage
9.429203241168468,79.1820696819681,coastal
25.936541843959365,83.1173455591463,spiritual
25.60164000798947,80.11822486485401,city
25.489987393366924,84.77101947458117,cultural
8.674690871673743,78.33286223053844,coastal
23.931230096632117,86.2837338204639,hill-town
9.60422294583013,78.83548967440466,coastal
17.703894477188182,83.5285997793243,temple-town
16.547700101165304,83.64061449355322,temple-town
25.92776696119939,80.9007583818201,city
27.41897080705194,85.04091760718003,mountain
9.08955053870528,78.67992402057544,coastal
19.89705013891097,77.96597266480883,rural
8.827413789215129,78.97407383698547,coastal
22.95063106805901,86.36786221714767,hill-town
23.284657979889133,79.73057547314542,urban
15.290634201494552,79.15716559740527,coastal-city
10.766593166261572,79.42130079024614,forest
9.490075392041248,76.1014586995855,backwater
23.74675512778066,85.02857458447194,cultural
25.712943422419936,81.32406632544269,city
